location,image_description,text,translated_text,id
5th list item,Text followed by pensive face emoji.,5)SAKRI GWYIWINI TAKY,5) Brother's wife's child,image_bodo_398.jpg
Bottom left image,A young boy sitting and laughing with his hand on his head.,,,image_bodo_398.jpg
Bottom right text,Text with a face with wry smile and emoji.,jona gargra sw nuyw nma?,What will you eat?,image_bodo_398.jpg
Top Text,"Bold text with a shadow effect, written in a mix of English and Nepali.",Basumatary \u092b\u094b\u0930\u0928\u093f \u0905\u0928\u094d\u0930\u093e\u092f\u0916\u094c \u092e\u093e\u0932\u093e\u092c\u093e\u092c\u094b \u0928\u0902\u0916\u093e\u092f \u0939\u094b\u0928\u094d\u0930\u093e\u0928\u0948 \u0926\u093e\u0938\u093e\u0928 \u0928\u0921\u093c\u093e\u092c\u094d\u0932\u093e \u091c\u093f\u0909\u0906\u0935 \u092b\u0938\u094d\u0925\u093e\u092f\u0928\u093e\u0902\u0917\u094b\u0928 |,"Basumatary's injustice, deceit, bad behavior, temporary leaving |",image_bodo_14.jpg
Bottom Right,"A small circular logo with two cartoon characters wearing fezzes and sunglasses, and the text 'Moye Memer' around the circle. Below the logo, the text 'MoYe Memer' and '3m' with a globe icon.",Moye Memer \n3m,Moye Memer \n3m,image_bodo_14.jpg
Top,Text on the top of the image.,saize saize ckla pwra,"Come come, come soon",image_bodo_28.jpg
Middle,"An emoji face with one eye closed, a smirk, and a Facebook page logo ""memes bodo"".",memes bodo,memes bodo,image_bodo_28.jpg
Bottom,Text at the bottom of the image.,duga jngnw memes shere klm Laiya bra kela,"Don't share memes, you'll get beaten up badly",image_bodo_28.jpg
Top,Text in white color on green background.,"Longtong juga pwipin
Bai","Longtong also has wings
Bai",image_bodo_300.jpg
Middle,Faces laughing with eyes closed and hands in air.,"Lwi kali
ngsina gana","Lwi kali
gas good",image_bodo_300.jpg
Bottom,Text in white color on green background.,"Longtong kuna mwsa gasinw
nma ngswr bekainw be ganlo
damw sala pwr","Longtong again will be very good
now it will be very good
very good",image_bodo_300.jpg
Top,The meme has a white background with black text at the top and a drawing of a character holding a bra.,Oi नोंनि नामा बे,"Oi, are you not naming me?",image_bodo_314.jpg
Top text,The text is accompanied by a profile picture of a person and the name 'Dukutiya Jiu' with a time stamp and a globe icon.,Be hwoakwo Swrba Sinai baina nubai baiyw ba kitahor de lwgwpwr mansi ya District :Baksa nolbari gamini name a hala dola buggw gwmbwr narzary hinjao Lana karna dg hinjao a pisa sanwi gwngka! hwoana hinjao a bijwng Satam jasigwn lalai garlaiya,"Because the first one who came to the village and showed himself in the village was a man from Baksa district. If he asks for money again, he will be slapped.",image_bodo_328.jpg
Left bottom image,"A man is sitting in front of shelves stocked with various products, possibly in a shop. He is wearing a light blue t-shirt with text on it.",LIFE BEHIND BARS,LIFE BEHIND BARS,image_bodo_328.jpg
Right top image,A man wearing a light blue t-shirt with white text on it is looking at the camera.,LIFE BEHIND BARS,LIFE BEHIND BARS,image_bodo_328.jpg
Right bottom image,A man wearing a pink patterned shirt is standing and looking at the camera in a hallway.,,,image_bodo_328.jpg
Top,Text in Bodo language with a sad emoji,"Oii  matho nò b gaimi
nuharnayini jò","Oh, my head is not good, I am very disappointed",image_bodo_102.jpg
Middle,"A cartoon character lying down with its head on its hand, smiling",,,image_bodo_102.jpg
Bottom,Text in Bodo language with sad and happy emojis,"juli jahainosaino nanga honlay
akhaugarna thaimar sigon nò honba","If you are lazy, it is for you
If you work hard, it is for you",image_bodo_102.jpg
Top,Text on top of the meme with an emoji of a person looking frustrated.,Nwgkwo Gsw khangna Ngjng Railainw Lugwiyw 😠,I have to go out in the rain and listen to you. 😠,image_bodo_116.jpg
Center,A person with headphones is sitting on a field looking at the moon in the night sky.,,,image_bodo_116.jpg
Bottom,Text at the bottom of the meme with an emoji of a person looking bored or unimpressed.,Pwipin Gwn Ng Mabla 😑,"If you go, I will also go 😑",image_bodo_116.jpg
Top text,Cartoon drawing of a crying person lying on the ground in a puddle of tears.,बैसो जाना सिख्ला उन्दे खौ हाबा खालामोनो साननाय सिमांआ सिमांयनो थांसिगोन नामा,"When you learn to sit without doing anything, do you think you will die?",image_bodo_512.jpg
Bottom text,The same cartoon drawing of a crying person lying on the ground in a puddle of tears.,थारैनो बे बुहुमाव आंनि थाखाय सारसेबो हराखै नामा?,"Is it possible that for me, no one else has been lost?",image_bodo_512.jpg
Top,"Black text on white background, reads 'Gath sase gonanjong soriniba EX jo ekhesso'",गथ सासे गोनांजों सोरनिबा EX जोँ एखेसो,Gath sase gonanjong soriniba EX jo ekhesso,image_bodo_506.jpg
Bottom right,Facebook logo and text 'Adwi Memar',f Adwi Mēmar,f Adwi Memar,image_bodo_506.jpg
Top,Text in black capital letters,Ag cycle dokan sw,If cycle shop,image_bodo_261.jpg
Middle Top,Text in black capital letters,hwniswi,go,image_bodo_261.jpg
Center,"A dog dressed as a woman riding a pink bicycle with a cat in the front basket. The dog is wearing a blue wig, a yellow hat, and a scarf, and is holding a drink. There is a backpack on the back of the bicycle.",@Memes bodo,@Memes bodo,image_bodo_261.jpg
Bottom Top,Text in black capital letters,baigwna baiya ngsr ly,I will go to the market,image_bodo_261.jpg
Bottom Bottom,Text in black capital letters and a laughing emoji,aswl pwr,as well,image_bodo_261.jpg
Top,Text with some emojis.,Ag holi Gelenw bayw lwi,"If you become famous, it will be like this.",image_bodo_103.jpg
Middle,"A cartoon character wearing sunglasses, lying down comfortably, with a laughing emoji next to it.",Memes bodo,Memes bodo,image_bodo_103.jpg
Bottom,Text with a smiley emoji.,Ag Sapa Sapa Tagra Manc,When someone becomes very strong and cool.,image_bodo_103.jpg
centered text,"The image contains text in Manipuri script. The first line reads ""soriniba soriniba bajemonin ACTING khai"", and the second line reads ""nayna harasing miniphrangyo ai"". The text is in a bold, dark color against a white background.","সোরনিবা সোরনিবা বাজৈমোনিনি ACTINGখৈ
নায়না হারসিং মিনিফ্রায়ো আই","Acting king king king and king
King is acting.",image_bodo_329.jpg
Top,"text in two lines, the first line contains the words ""बैथालाफोरा Picnic"" and the second line contains the words ""लाफलाना हाग्रा बारियाव लांシングोनलाय""","बैथालाफोरा Picnic,
लाफलाना हाग्रा बारियाव लांシングोनलाय","Let's go for a picnic, don't forget to bring laughter and songs.",image_bodo_315.jpg
Bottom right,"a small circular logo with a cartoon character and text ""Mental Memer"" and ""3m""","Mental Memer
3m","Mental Memer
3m",image_bodo_315.jpg
Top text,,"Comment on 'Pwi Jwng Boibw Magra Boro Rao Swlwngni, Goalpara District'","Comment on 'Pwi Jwng Boibw Magra Boro Rao Swlwngni, Goalpara District'",image_bodo_467.jpg
Top right image,Three men posing for a photo.,MAGRA BORO RAO SWLWGNI,MAGRA BORO RAO SWLWGNI,image_bodo_467.jpg
First comment text,,Sonitpur arw biswanathni boro pwra nw original,Sonitpur and Biswanath's Boro Pwranw original,image_bodo_467.jpg
Second comment text,,Obla Alfred na orignal noga jwglai noga nma Alfred ada jg same jgna golpara na,"Alfred's original is here, Alfred's second is same as Golpara.",image_bodo_467.jpg
Top text,Text in Bodo language with a sad emoji.,uff aghabw gwsw twnai dgja nai mwnbla bebadi cycle jng berai hwinw haggwo mn 😥,"uff it's so bad, this is really bad, my girlfriend took me on a cycle, it's very bad.",image_bodo_29.jpg
Top,"A young boy with a sad or bored expression, sitting down, wearing a brown shirt. The text is in a gradient color from yellow to green.",बालाआव खारहैंनो हायैआ आंलसै खुमा,"I am bored, I am lazy",image_bodo_498.jpg
Bottom,"The same young boy as in the top part, sitting down, looking bored. The text is in a gradient color from green to blue.",दे नोंसोर ल लादो आं ग iarि फुगारग्रा जानोसै,It's me who is taking you along and you will not know,image_bodo_498.jpg
Top,Black text on a white background with a purple border. The text is in Nepali and appears to be a statement or quote.,लामायव सेंग्राफोर नुबिला गेडाव खफिना होलांनाय हुदाखौ गार नोन्सर,"Long photographer, we are not photographed, show some respect",image_bodo_15.jpg
Middle,Two yellow emojis. The left emoji has its eyes crossed and mouth open in a laughing expression. The right emoji is laughing with tears streaming from its eyes.,,,image_bodo_15.jpg
Bottom,"Black text and the letter 'P' with a fingerprint icon. There is also a circular logo with two cartoonish men wearing fezzes and the text ""Moye Memer"" around the logo. Below the logo, the text ""Moye Memer"" and ""3m"" with a globe icon.",M आरो P,M and P,image_bodo_15.jpg
Top text,A meme with text written in what appears to be Gujarati.,"આજિ ખાલી હિન્જાવફોરા ઓરૈનો ખારાર્થ'
હૌવાયા ગાવખૌ બેસેબાં અનો બેખૌ
આનજાદ નાયનો થાખાયસો ગુબુન હૌવાજૉ
ખારથ'યો |","Today only Hindufoora Orino Khararth'
Havaya Gavkhu Besibaan Ano Bekhu
Aanjad Nayano Thakhayaso Gubun Havajo
Kharath'yo |",image_bodo_17.jpg
Bottom image,"A classic 'rage comic' face, typically used to express extreme emotion, here depicting laughter or exasperation.",,,image_bodo_17.jpg
Top,text in Marathi,संग्रफोरा शिखलाफोरनि दुदु खै नायना गोसोथयो ओमफ्राय सिखलाफोरा संग्राफनि Bike खौ नुनो मोजां मोनो बेनो जाबाय आआखििखालाव सोलिफुबाय थानोय Nibba Nibbi फोरनि आरम मोनलायनोय,Sangraphora Sikhlaforini Dudu Khai Nayana Gosothoyo Omaphray Sikhlafora Sangrani Bike Khau Nuno Mojang Mono Beno Jabai Akhikhilav Solifubai Thanai Nibba Nibbi Forini Aram Monalainai,image_bodo_303.jpg
Bottom,text in English with an emoji,ok bye,ok bye,image_bodo_303.jpg
Bottom Right,"logo of ""Mental Memer"" with a person icon",Mental Memer,Mental Memer,image_bodo_303.jpg
Top,A drawing of a person sitting on the moon with Earth in the background. The person looks sad. The text on the top says 'Raobw kobor lagra gwiya' with a neutral face emoji.,Raobw kobor lagra gwiya,I heard you have no news,image_bodo_115.jpg
Bottom,"The same drawing as above, but with the text 'Duku ni Somao' and a sad face emoji at the bottom.",Duku ni Somao,I am sad,image_bodo_115.jpg
Full Image,The image is a meme with a green background. White text on the top reads 'Online ta nw bw gwiy' and below it is a sad emoji.,Online ta nw bw gwiy,"Online, it's not good anymore",image_bodo_101.jpg
Top,Text with a sad emoji on top of a space image.,Gubun Hadwrao ao pwibai ag 😥,When life is so unfair 😥,image_bodo_129.jpg
Middle Image,"A cartoon character sitting on a planet in space, looking sad. The sun and planets are visible in the background.",,,image_bodo_129.jpg
Bottom,Text below a space image with a sad cartoon character.,Bikwo baogarlangnu takhai,I think it's better to die,image_bodo_129.jpg
Top text,The text reads 'agkwo santamsw offline' followed by 'nudgbla' below it.,"agkwo santamsw offline
nudgbla",Always wants to be offline,image_bodo_263.jpg
Middle image,"A cartoon drawing of a cute, round character with eyes closed and blushing cheeks, holding a smartphone and looking at it with a pink heart above its head. There is a watermark '@Memes bodo' to the right of the character.",@Memes bodo,@Memes bodo,image_bodo_263.jpg
Bottom text,The text reads 'Recharge swna lanw hayakwi' followed by 'hwnna sanna la ng' below it.,"Recharge swna lanw hayakwi
hwnna sanna la ng","If you don't recharge, I will not be active.",image_bodo_263.jpg
Top,"The text is in Nepali and translates to: 'If you have trouble, I have trouble.'",सिख्लाफोरा बोराय बोरायखौ ला,"If you have trouble, I have trouble.",image_bodo_505.jpg
Center,"A young black boy with a yellow and white striped shirt, looking surprised and gesturing with his hands.",,,image_bodo_505.jpg
Center Right,A Facebook logo and the text 'Adwi Mēmar'.,Adwi Mēmar,Adwi Mēmar,image_bodo_505.jpg
Bottom,The text is in Nepali and translates to: 'Is it a problem that is related to you?',सेंग्राफोरा गथ गोनांरौ ला,Is it a problem that is related to you?,image_bodo_505.jpg
Center,"The text ""BREAKUP"" is written in English in a large font. Below it, in a slightly smaller font, is the text ""जाबा गोसोखै माबायदि मोनो?"".",BREAKUP,BREAKUP,image_bodo_539.jpg
Center below BREAKUP,"The text ""जाबा गोसोखै माबायदि मोनो?"" is written in a script that appears to be Assamese or Bengali. This text is below the word ""BREAKUP"".",जाबा गोसोखै माबायदि मोनो?,Why do you get angry?,image_bodo_539.jpg
Top,Trollface meme character with text above it.,गथ सानै जाबा थय 16बोसोरनि बायदि जाफिनलायो बाजैमोना,When you realize you are going to be 16 years old,image_bodo_510.jpg
Bottom,Trollface meme character with text below it and a small profile picture with text 'Adwi Mëmar Just now'.,सिब्लाफोट निफ्राय बेसोरोसो साबसिन जाबावो,"From now on, you will be considered mature",image_bodo_510.jpg
Top,Blue background with white text.,Mithikayw de de thogai,Mithikayw de de thogai,image_bodo_262.jpg
Middle,Cute cartoon rabbit illustration with a sad expression.,@Memes bodo,@Memes bodo,image_bodo_262.jpg
Bottom,Blue background with white text and a sad emoji.,Ng agkwo gwsw twya na,Ng agkwo gwsw twya na,image_bodo_262.jpg
Top Text,"Text in a non-specific font, with each character in a different bright color.",नों फरायबाय थानायखौ मेघन खेबबायलां।,Don't tell anyone you're going to do it.,image_bodo_504.jpg
Center Image,"A white figure with black eyes, nose, and mouth, pointing with its index finger towards the viewer while holding its other fingers to its mouth in a shushing gesture. The figure is against a light green background. A Facebook logo and ""Adwi Memär"" are visible in the top right corner.",,,image_bodo_504.jpg
Bottom Text,"Text in a non-specific font, with each character in a different bright color.",आं नोंखौ थैस थांसनि खालामनो सानबाय।,I will do it to you when I get a chance.,image_bodo_504.jpg
Top,Text that says 'i love you',i love you,i love you,image_bodo_289.jpg
Middle,"A cartoon character with a rose in its hand and blushing cheeks, looking shy.",,,image_bodo_289.jpg
Middle Right,A green chat bubble with text 'memes bodo',memes bodo,memes bodo,image_bodo_289.jpg
Bottom,Text that says 'ngkwo posaibai ag kintu',ngkwo posaibai ag kintu,I like you very much,image_bodo_289.jpg
Top Text,The text 'Ngsr Manw bujiya' is displayed with a sad emoji.,Ngsr Manw bujiya 😥,How can people understand 😥,image_bodo_100.jpg
Middle Image,"Two cute cartoon cats embracing each other, one white and one grey.",,,image_bodo_100.jpg
Bottom Text,The text 'Bekwo di ag bese mjng mwnw ag' is displayed with an unimpressed emoji.,Bekwo di ag bese mjng mwnw ag =\],"Because I love you, you love me =\]",image_bodo_100.jpg
Top,A cobra snake is shown with its hood raised.,BEPWRKWO SWR GOTOYA JANW GIYA JANW,"This is written backwards and scrambled, but it appears to be a reference to the song 'Baby' by Justin Bieber, with a corrupted spelling of 'Baby' and 'Girl'.",image_bodo_458.jpg
Left,"Drake is shown smiling and giving a thumbs up, in his signature meme pose.",,,image_bodo_458.jpg
Right,"A woman with large breasts and multiple tattoos, including roses and eyes, is shown from the chest up. She is wearing a red lace bra.",,,image_bodo_458.jpg
Bottom,The text is written below the Drake meme and the woman.,BENI BF YA PURA GAIKER BUYNGGWWN,"This text is also in a scrambled or corrupted form of a local language, possibly referring to 'My boyfriend is better than your boyfriend'.",image_bodo_458.jpg
Top,"The text is in black color on a yellow background. The first line reads ""New Year आब"", and the second line reads ""दुखुनि मेथाय दामना"". The text appears to be in an Indian language, possibly Nepali or similar.",New Year आब,New Year come,image_bodo_316.jpg
Middle,"The text is in red color on a yellow background. This line continues from the previous line, reading ""जाफुनाय लोंफुनाय समाव"" and ""होयोब्ला बिगुद बिसिगो
न"". The text appears to be in an Indian language, possibly Nepali or similar.","जाफुनाय लोंफुनाय समाव
होयोब्ला बिगुद बिसिगो
न","When the struggle ends, it becomes difficult to leave",image_bodo_316.jpg
Bottom Right,"A Facebook-like interface with a profile picture of a cartoon character with a thought bubble containing ""Mental Memer"". Below the profile picture, it says ""Mental Memer"" and ""3m"".","Mental Memer
3m","Mental Memer
3m",image_bodo_316.jpg
Top,,अलसिया,Laziness,image_bodo_16.jpg
Middle Top,,"खिबा खिना खिथु सुना लानो बाग्रा,","Do not eat or drink, bring your own.",image_bodo_16.jpg
Middle,,जुहुनाल' थाग्रा,Take your own food,image_bodo_16.jpg
Middle Bottom,,बेबादिस मानसिफोरासो Like होनो बायो ।,Do Like regardless of being rude.,image_bodo_16.jpg
Bottom,"Two laughing emojis, one with tears of joy, the other eyes squinted shut with a wide grin.",,,image_bodo_16.jpg
Bottom Right,"A profile picture with two men wearing red fezzes and sunglasses, with the text 'MoYe Memer' above them.","MoYe Memer
3m","MoYe Memer
3m",image_bodo_16.jpg
Top left,A stick figure is kicked by another stick figure who is being held by a third stick figure.,आनि हिन्जाव,and you are kicked,image_bodo_12.jpg
Top right,A stick figure stands with a neutral expression.,आनि बिसुनजो,and you are not kicked,image_bodo_12.jpg
Middle,A stick figure is being kicked while being held by another stick figure.,आं,I,image_bodo_12.jpg
Bottom center,A logo with text 'Moye Memer' and two cartoon faces.,MoYe Memer,MoYe Memer,image_bodo_12.jpg
top header,Text in Devanagari script reading 'jeBala NANGGWN HMBA SW POSTAIGWN NGSWR CKLAPWR',जेब्ला NANGGWN HMBA SW POSTAIGWN NGSWR CKLAPWR,What is NANGGWN HMBA SW POSTAIGWN NGSWR CKLAPWR,image_bodo_448.jpg
header right,Text reading 'Today's Result',Today's Result,Today's Result,image_bodo_448.jpg
middle,"A screenshot of a google search results page, showing 'nagaland state lottery result today 1pm'","nagaland state lottery result today
1pm","nagaland state lottery result today
1pm",image_bodo_448.jpg
top right banner,"A lottery ticket with 'Nagaland State Lotteries' and 'MEGHNA FRIDAY WEEKLY LOTTERY' printed on it, along with '1st Prize Winner Amount 1 Crore' and a lottery number.","Nagaland State Lotteries
MEGHNA FRIDAY
WEEKLY LOTTERY
1st
Prize
Winner
Amount
1
CRORE
84L 67144
05/01/24","Nagaland State Lotteries
MEGHNA FRIDAY
WEEKLY LOTTERY
1st
Prize
Winner
Amount
1
CRORE
84L 67144
05/01/24",image_bodo_448.jpg
bottom right image,"A man with his eyes closed and mouth open, appearing to be laughing or crying.","5
LAKHS
DEAR
DEAR","5
LAKHS
DEAR
DEAR",image_bodo_448.jpg
bottom banner,A table of lottery numbers and winning amounts.,"6th Prize Amounts for Winner ₹ 130/- ₹ 10/-
0037 1235 1852 2089 3918 4900 6201 6711 7475 8958 9000
0109 1248 2046 3025 4011 5023 6220 6929 7475 8958 9000
0146 1288 2052 3033 4054 5040 6255 6940 7500 8220 9218
0252 1515 2340 3204 4278 5400 6321 7013 7776 9218
0716 1580 2560 3286 4304 5477 6377 7119 7840 9262
0726 2707 3379 4416 5604 6495 7290 7920 9507
0828 2762 3379 4416 5654 6495 7290 7920 9507 9524
0853 1641 2762 3379 4416 5654 6495 7290 8107 9524
0934 1645 2762 3379 4416 5654 6495 7290 8107 9598
0924 1645 2762 3379 4416 5654 6495 7290 8107 9598
0934 1682 2811 3827 4776 6117 6708 7471 8606 9787
05/01/24 1 PM 05/01/24","6th Prize Amounts for Winner ₹ 130/- ₹ 10/-
0037 1235 1852 2089 3918 4900 6201 6711 7475 8958 9000
0109 1248 2046 3025 4011 5023 6220 6929 7475 8958 9000
0146 1288 2052 3033 4054 5040 6255 6940 7500 8220 9218
0252 1515 2340 3204 4278 5400 6321 7013 7776 9218
0716 1580 2560 3286 4304 5477 6377 7119 7840 9262
0726 2707 3379 4416 5604 6495 7290 7920 9507
0828 2762 3379 4416 5654 6495 7290 7920 9507 9524
0853 1641 2762 3379 4416 5654 6495 7290 8107 9524
0934 1645 2762 3379 4416 5654 6495 7290 8107 9598
0924 1645 2762 3379 4416 5654 6495 7290 8107 9598
0934 1682 2811 3827 4776 6117 6708 7471 8606 9787
05/01/24 1 PM 05/01/24",image_bodo_448.jpg
bottom left,Large text in white sans-serif font reading 'ARAIGASINW RO',ARAIGASINW RO,ARAIGASINW RO,image_bodo_448.jpg
Top,"Text in green and white neon font over a white background, with a profile picture and name below it.",HINJAO MWNNYBA SOCIAL MEDIA NIPRY JANGAR JASIGWOMWNLANG RYJWPWR,HINJAO MWNNYBA SOCIAL MEDIA NIPRY JANGAR JASIGWOMWNLANG RYJWPWR,image_bodo_474.jpg
Bottom,"Profile picture of a person with short black hair and a light-colored shirt, next to the name 'Adwi Mêmär' and the text 'Just now' and a globe icon.","Adwi Mêmär
Just now 9","Adwi Mêmär
Just now 9",image_bodo_474.jpg
Top,,लंथं Modern जुग जोबना थांलायबाय,Long Modern era youth will spread,image_bodo_312.jpg
Middle,,दानिया,Daniya,image_bodo_312.jpg
Bottom,,लवराफिथिनय फैलायबाय,Lovrafithinyay Felaaybay,image_bodo_312.jpg
Bottom Right,"Logo of Mental Memer, featuring a stylized cartoon character with 'Mental Me' text above it.",Mental Memer,Mental Memer,image_bodo_312.jpg
Top,Text 'Please' in black font on a white background,Please,Please,image_bodo_138.jpg
Middle,"A cartoon character with a smiling face, blushing cheeks, and hands pressed together in a prayer-like gesture.",,,image_bodo_138.jpg
Bottom,Text in black font that reads 'Ng agniprai Gwjanao tato dw mithibai',Ng agniprai Gwjanao tato dw mithibai,Please can you give it to me,image_bodo_138.jpg
Top,Text that says Arwibadi single,Arwibadi single,Arwibadi single,image_bodo_110.jpg
Middle,Text that says dinwisim raonibw watsap,dinwisim raonibw watsap,dinwisim raonibw watsap,image_bodo_110.jpg
Bottom,Text that says number mwnferakwi.,number mwnferakwi.,number mwnferakwi.,image_bodo_110.jpg
Top,Text on top of the image,Duku mwnw Agni,Duku mwnw Agni,image_bodo_104.jpg
Top middle,Emoji with a neutral face,😔,😔,image_bodo_104.jpg
Middle,"A cartoon character sitting with its hand on its chest and crying, symbolizing distress or pain",Onga,Onga,image_bodo_104.jpg
Bottom,Text at the bottom of the image,Gubun jng Ngkwo nuywbwla,Gubun jng Ngkwo nuywbwla,image_bodo_104.jpg
Bottom right,Text overlayed on the image,Memes bodo,Memes bodo,image_bodo_104.jpg
Top,Text in black color with a smiley emoji at the end of the second line.,"ma pongbai nwngnw
twnai naggwo hwdg
nama 🙂","I am going to do it all
I will do it happily
name :)",image_bodo_299.jpg
Bottom,Text in black color.,"Konse gaoja grw
wmprai banaina hwgwng
ang","What do you want to do?
I can't do it alone
man",image_bodo_299.jpg
Top,Text at the top that says Nwi ctwba.,Nwi ctwba,Nwi ctwba,image_bodo_272.jpg
Middle,A cute cartoon character wearing a black peci hat and holding prayer beads. The character has blush marks on its cheeks and a smile. There is also a watermark '@Memes bodo' on the right.,@Memes bodo,@Memes bodo,image_bodo_272.jpg
Bottom,Text at the bottom that says kha pala nw gwijaya agha.,kha pala nw gwijaya agha,kha pala nw gwijaya agha,image_bodo_272.jpg
top,A cartoon figure is crying profusely with its eyes closed and tears streaming down. The text above it reads 'Ag jaikwo gwsw twyw'.,Ag jaikwo gwsw twyw,I am very tired,image_bodo_273.jpg
middle,A watermark with the text '@Memes bodo' is visible on the right side of the crying cartoon figure.,@Memes bodo,@Memes bodo,image_bodo_273.jpg
bottom,"Below the crying figure, text in Bodo reads 'Beyw agkwo gwsw twya bra kela'.",Beyw agkwo gwsw twya bra kela,"I am very tired, but I have to do it",image_bodo_273.jpg
top middle,Text in Devanagari script with a crying emoji below it,गामियाव मेगन साग्रा मानसि थाबानो नखरा सुख जाय,The joy of a person who is always happy is destroyed,image_bodo_515.jpg
Top,"Text that reads ""FACEBOOK"" followed by a sentence in a non-English script.",FACEBOOK खुलि जेननायनिफ्राय दाससिम,FACEBOOK open it for the user,image_bodo_501.jpg
Center,"A meme face with wide eyes, a wide smile, and a slightly tilted head, possibly indicating slyness or mischief. A Facebook logo and ""Adwi Mëmar"" text are present.",f Adwi Mëmar,f Adwi Mëmar,image_bodo_501.jpg
Bottom,"Text that reads ""FACEBOOK"" followed by a sentence in a non-English script.",FACEBOOK आव गोसोम सिखला नुवाखै आं,FACEBOOK I haven't learned to like it,image_bodo_501.jpg
Top,"Two cartoon characters, one on the left is sitting with hands folded on a cushion, the other on the right is standing with hands raised. A red heart is above the standing character. Text is present at the top and bottom.",Ngkwo Bwrwi Mwngwn,Ngkwo Bwrwi Mwngwn,image_bodo_105.jpg
Top Left,The left part of the top text with the character 'Ag' and a sunflower emoji.,Ag,Ag,image_bodo_105.jpg
Middle Left Image,"A cartoon character sitting with hands folded on a pink cushion, smiling.",,,image_bodo_105.jpg
Middle Right Image,"A cartoon character standing with hands raised and a smile, with a red heart above its head.",Memes bodo,Memes bodo,image_bodo_105.jpg
Bottom Left,The bottom text 'Mainao' followed by a sunflower emoji and a starry-eyed emoji.,Mainao,Mainao,image_bodo_105.jpg
Top text,Text that reads Duku ah nw jwbbnw tangla matw with a disappointed emoji.,"Duku ah nw jwbbnw
tangla matw

","I am really fed up with you
Don't think about me",image_bodo_139.jpg
Middle image,A drawing of a sad person with a broken heart next to them.,,,image_bodo_139.jpg
Bottom text,"Text that reads Lwgwipwr ah bw kobor
lakhaya bi badiyao with a disappointed emoji.","Lwgwipwr ah bw kobor
lakhaya bi badiyao

","I will forget you
No matter what",image_bodo_139.jpg
Top,"The meme features the surreal image of a dog with a elongated body and two distinct dog heads at each end. The text above reads ""गोदो उन्देआव सैमा जालनायखौ"".",गोदो उन्देआव सैमा जालनायखौ,"Let's go, they said, it will be fun.",image_bodo_307.jpg
Bottom,"The bottom part of the meme shows the same elongated dog figure. Below the image, text in the same script reads ""Hath r khubaila bayna hokhar nayani fabha daso nando"".",Hath r khubaila bayna hokhar nayani fabha daso nando,"My hands are broken, my body is weary, I can't do this anymore.",image_bodo_307.jpg
Top,"A person in an orange jacket is shown with their head turned away, palm facing forward in a rejection gesture.",बे अखाया अख नआ,"Don't show up to the event, don't come",image_bodo_461.jpg
Bottom,"The same person is shown smiling and pointing forward, indicating approval.",आंनि गोरबोनिनि दुखुनि मोदै सो,"I will be proud, it makes me happy",image_bodo_461.jpg
Top,Two men are talking to each other in front of green plants.,# Ada Alfred Part 1 Befru hwjwbnagwo nwngtangkhw😎✌️,# Ada Alfred Part 1 Befru hwjwbnagwo nwngtangkhw😎✌️,image_bodo_475.jpg
Middle,Profile picture of a person with the text 'Adwi Mēmar' and 'Just now'.,"Adwi Mēmar
Just now","Adwi Mēmar
Just now",image_bodo_475.jpg
Middle,Profile picture of a person with the text 'JAMES BODO VLOG' and '2 lakh'.,JAMES BODO VLOG 2 lakh,JAMES BODO VLOG 2 lakh,image_bodo_475.jpg
Bottom,Comment section showing a profile picture and text.,Finally Single pro max with black Cobra founder,Finally Single pro max with black Cobra founder,image_bodo_475.jpg
Top,A crying emoji with a sad expression,Mohor gwija rwgwi khainw,I am very sad and do not want to eat.,image_bodo_39.jpg
Center,"A Facebook page logo with text ""Memes bodo""",Memes bodo,Memes bodo,image_bodo_39.jpg
Bottom,A crying emoji with a sad expression and text below it.,jng pwrkwo raobw naison Tarla,The weather is bad and I am hungry.,image_bodo_39.jpg
Bottom,A crying emoji with a sad expression and text below it.,Tarla,Tarla,image_bodo_39.jpg
Top,Text in Devanagari script.,सैमा गणाथि नांनाय आ बबेमास आव जायो-,When do Saima's siblings come to which month?,image_bodo_488.jpg
Middle,List of months with numbers.,"1) JANUARY
2) AUGUST
3) APRIL
4) SEPTEMBER","1) JANUARY
2) AUGUST
3) APRIL
4) SEPTEMBER",image_bodo_488.jpg
Right middle,Facebook logo and text 'Adwi Memar'.,Adwi Mēma̋r,Adwi Memar,image_bodo_488.jpg
Top,"A multiple choice question in Nepali, with options labeled A, B, C, and D.",मानिसनि खुगासिडाव थानाय जंफार हाथायखौ मा होनो ?,What is a person's laugh called?,image_bodo_463.jpg
Top A,,(A) हागोमा हाथाय,(A) Laughing,image_bodo_463.jpg
Top B,,(B) सैमा हाथाय,(B) Smile,image_bodo_463.jpg
Top C,,(C) खदाल हाथाय,(C) Giggle,image_bodo_463.jpg
Top D,,(D) सिगं हागोमा हाथाय,(D) Roaring laugh,image_bodo_463.jpg
Center,"A close-up of a man's face with a wide, exaggerated smile, showing all his teeth. He has dark hair and a mustache.",,,image_bodo_463.jpg
Bottom,"The man's face from the center, with text below it. There is a laughing emoji to the right of the text.",खदाल हाथाय सो होबोदां 😂,Giggling will be like this 😂,image_bodo_463.jpg
Top left,"The text ""The Art"" is displayed.",The Art,The Art,image_bodo_311.jpg
